# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    7.074148297    1.707721553    1.707721553    1.565149547
    7.094188377    1.705009920    1.705009920    1.563361416
    7.114228457    1.702312588    1.702312588    1.561580244
    7.134268537    1.699629464    1.699629464    1.559806006
    7.154308617    1.696960457    1.696960457    1.558038677
    7.174348697    1.694305475    1.694305475    1.556278230
    7.194388778    1.691664429    1.691664429    1.554524641
    7.214428858    1.689037228    1.689037228    1.552777883
    7.234468938    1.686423783    1.686423783    1.551037932
    7.254509018    1.683824007    1.683824007    1.549304760
    7.274549098    1.681237811    1.681237811    1.547578344
    7.294589178    1.678665108    1.678665108    1.545858657
    7.314629259    1.676105811    1.676105811    1.544145673
    7.334669339    1.673559836    1.673559836    1.542439368
    7.354709419    1.671027095    1.671027095    1.540739716
    7.374749499    1.668507506    1.668507506    1.539046691
    7.394789579    1.666000984    1.666000984    1.537360269
    7.414829659    1.663507445    1.663507445    1.535680423
    7.434869739    1.661026807    1.661026807    1.534007128
    7.454909820    1.658558987    1.658558987    1.532340359
    7.474949900    1.656103904    1.656103904    1.530680092
    7.494989980    1.653661477    1.653661477    1.529026299
    7.515030060    1.651231625    1.651231625    1.527378957
    7.535070140    1.648814269    1.648814269    1.525738041
    7.555110220    1.646409330    1.646409330    1.524103524
    7.575150301    1.644016727    1.644016727    1.522475383
    7.595190381    1.641636385    1.641636385    1.520853592
    7.615230461    1.639268224    1.639268224    1.519238126
    7.635270541    1.636912168    1.636912168    1.517628960
    7.655310621    1.634568141    1.634568141    1.516026069
    7.675350701    1.632236066    1.632236066    1.514429429
    7.695390782    1.629915868    1.629915868    1.512839015
    7.715430862    1.627607473    1.627607473    1.511254801
    7.735470942    1.625310807    1.625310807    1.509676764
    7.755511022    1.623025794    1.623025794    1.508104879
    7.775551102    1.620752363    1.620752363    1.506539121
    7.795591182    1.618490441    1.618490441    1.504979465
    7.815631263    1.616239955    1.616239955    1.503425888
    7.835671343    1.614000834    1.614000834    1.501878364
    7.855711423    1.611773006    1.611773006    1.500336870
    7.875751503    1.609556402    1.609556402    1.498801381
    7.895791583    1.607350951    1.607350951    1.497271872
